candidate_id,candidate_name,candidate_email,role,applied_on,cv_tier,invited_on,answers_submitted_on,outcome,outcome_on
C3014,Phuong Bao Hoang,phuong.hoang.bao14@example.com,Customer Success Associate,2026-07-27,Tier 1,2026-07-29,2026-08-02,rejected,2026-08-10
C3019,Ngoc Bao Huynh,ngoc.huynh.bao74@example.com,Finance Analyst,2026-07-27,Tier 2,2026-07-28,2026-07-31,advanced,2026-08-14
C3024,My Ngoc Bui,my.bui.ngoc34@example.com,Customer Success Associate,2026-07-27,Tier 2,2026-07-30,2026-08-01,rejected,2026-08-11
C3027,Quang Gia Do,quang.do.gia16@example.com,Backend Engineer,2026-07-27,Tier 2,2026-07-30,2026-08-02,advanced,2026-08-07
C3033,Chi Thu Le,chi.le.thu78@example.com,Marketing Coordinator,2026-07-27,Tier 2,2026-07-29,2026-07-31,rejected,2026-08-09
C3041,Trang Thu Le,trang.le.thu47@example.com,Backend Engineer,2026-07-27,Tier 2,2026-07-29,2026-07-31,rejected,2026-08-09
C3049,Thao Thu Nguyen,thao.nguyen.thu79@example.com,Backend Engineer,2026-07-27,Tier 3,,,not_invited,2026-07-30
C3052,Hai Ngoc Le,hai.le.ngoc17@example.com,Marketing Coordinator,2026-07-27,Tier 3,,,not_invited,2026-07-30
C3008,Giang Thu Tran,giang.tran.thu82@example.com,Finance Analyst,2026-07-28,Tier 2,2026-07-29,2026-07-30,advanced,2026-08-08
C3010,Loan Gia Ly,loan.ly.gia51@example.com,Backend Engineer,2026-07-28,Tier 1,2026-07-29,2026-08-02,rejected,2026-08-09
C3020,Loan Bao Nguyen,loan.nguyen.bao66@example.com,Marketing Coordinator,2026-07-28,Tier 2,2026-07-30,2026-08-02,rejected,2026-08-13
C3022,Thanh Ngoc Hoang,thanh.hoang.ngoc74@example.com,Customer Success Associate,2026-07-28,Tier 2,2026-07-29,2026-08-01,advanced,2026-08-10
C3043,Giang Gia Le,giang.le.gia88@example.com,Backend Engineer,2026-07-28,Tier 2,2026-07-29,2026-07-30,rejected,2026-08-10
C3044,Hai Van Ngo,hai.ngo.van74@example.com,Marketing Coordinator,2026-07-28,Tier 2,2026-07-29,2026-07-31,rejected,2026-08-07
C3047,Duc Gia Vo,duc.vo.gia33@example.com,Marketing Coordinator,2026-07-28,Tier 3,,,not_invited,2026-07-29
C3051,Kiet Duc Ly,kiet.ly.duc61@example.com,Finance Analyst,2026-07-28,Tier 2,2026-07-31,2026-08-01,advanced,2026-08-11
C3056,Yen Kim Ngo,yen.ngo.kim94@example.com,Customer Success Associate,2026-07-28,Tier 1,2026-07-30,2026-08-01,rejected,2026-08-07
C3001,Nhi Bao Phan,nhi.phan.bao78@example.com,Marketing Coordinator,2026-07-29,Tier 2,2026-07-30,2026-08-02,advanced,2026-08-09
C3004,Linh Duc Nguyen,linh.nguyen.duc69@example.com,Marketing Coordinator,2026-07-29,Tier 2,2026-07-31,2026-08-04,advanced,2026-08-11
C3011,Kiet Ngoc Le,kiet.le.ngoc21@example.com,Sales Executive,2026-07-29,Tier 1,2026-08-01,,no_answers_received,2026-08-12
